"","Real","Imaginario","Map","oReal","oImaginario"
"0","8.2687768875182","7.7364848920433","238","7","7"
"1","1.5306438900718","-15.415300288156","64","-1","-15"
"2","-5.6317847695784","8.2134230947544","126","-5","7"
"3","7.6811422032944","8.5506130554175","238","7","7"
"4","4.3817544206297","5.704475647443","223","3","5"
"5","-11.814106028113","3.4405934258318","45","-9","3"
"6","14.266713379902","-1.597676374055","132","15","-1"
"7","-9.4004011889869","13.292254469638","41","-9","13"
"8","0.21709258414569","-5.1636523264776","71","-1","-5"
"9","-0.2810570778496","9.7234771693295","90","-3","9"
"10","0.42953035176395","-4.4108881941309","71","-1","-5"
"11","7.3537844445667","-1.8897307486218","164","9","-1"
"12","-3.7343899384473","8.1206959399298","94","-3","7"
"13","15.329353365407","1.9362140496258","143","15","5"
"14","14.21011964711","-1.1154725387026","132","15","-1"
"15","13.946003780163","4.9625852081404","143","15","5"
"16","-14.331933685596","8.905313362143","10","-15","9"
"17","9.3473579008845","7.5867041142738","174","9","7"
"18","-9.5043352440563","10.219572316859","59","-11","11"
"19","6.4805522511762","-8.7625709937996","246","5","-7"
"20","7.9300476789944","13.357402297391","168","9","15"
"21","12.763417390698","15.36465453552","152","13","15"
"22","-3.5864171848487","0.17067197502191","92","-3","1"
"23","3.4182180463349","11.837473439338","217","3","13"
"24","-16.143350880229","1.0764034449468","12","-15","1"
"25","6.4989233095226","-6.0931375132134","230","7","-7"
"26","4.5346854668819","-13.241724861612","243","5","-11"
"27","7.1161685877131","-9.8416568601308","230","7","-7"
"28","6.4789686860195","17.220074602926","232","7","15"
"29","-14.534645317802","3.1831645535079","15","-15","5"
"30","11.043039672547","16.500433338491","152","13","15"
"31","3.6127591184038","-13.475120122991","241","5","-13"
"32","14.110305130684","-14.110849526151","128","15","-15"
"33","13.873068645242","-14.100102990182","128","15","-15"
"34","-11.525915014856","-6.3140923720482","22","-13","-7"
"35","-7.3975640477408","5.6605823246506","47","-9","5"
"36","-2.4448830437674","14.264014737212","121","-5","13"
"37","-11.070348223725","-11.106261057197","51","-11","-11"
"38","-7.643679054336","1.3065669261128","36","-9","-1"
"39","14.797946534033","-8.0541326946915","130","15","-9"
"40","-10.746779372683","2.1984294594001","109","-7","3"
"41","-3.95136867175","-9.5182580805542","115","-5","-11"
"42","-7.7720735649493","-3.8029554945827","37","-9","-3"
"43","-11.134843794119","5.6792322526724","63","-11","5"
"44","-9.2685204867879","8.928321726291","122","-5","9"
"45","-5.4059283685616","7.1393133049307","127","-5","5"
"46","12.782535356655","1.7710377209688","157","13","3"
"47","-1.9807666619043","-15.000738172103","80","-3","-15"
"48","-2.603028905831","11.385442213015","73","-1","13"
"49","-8.4614406932214","1.7083770242689","44","-9","1"
"50","-6.6607181973352","-1.3986541852093","37","-9","-3"
"51","0.13089997423919","-15.168588355405","193","1","-13"
"52","-11.301073790341","1.150463312614","61","-11","3"
"53","-12.701920662831","10.891256354011","58","-11","9"
"54","-14.783998009223","-6.6573189721943","23","-13","-5"
"55","3.9810188768757","-14.723921909348","208","3","-15"
"56","-7.1445421279895","-2.7073646486668","103","-7","-5"
"57","14.388376145865","12.886049738307","139","15","11"
"58","16.774808399659","11.964912473478","139","15","11"
"59","10.501124829111","-5.4730998772891","182","11","-7"
"60","10.250420238136","-9.2203086256228","178","11","-9"
"61","2.2641989799727","10.556662002876","219","3","11"
"62","-14.482782686267","0.66166228362802","60","-11","1"
"63","-5.0586169096227","-8.6232557358084","114","-5","-9"
"64","-12.046688526947","2.6216401308324","61","-11","3"
"65","-10.863246242154","-0.41019578807773","52","-11","-1"
"66","-0.68362608071751","-9.8108702510267","115","-5","-11"
"67","-7.0697459413304","1.9969699843498","44","-9","1"
"68","14.934906826199","-10.170781895776","130","15","-9"
"69","7.1708807151303","-1.8771593778411","228","7","-1"
"70","1.9417625567525","13.44477427158","217","3","13"
"71","-8.7095558343911","5.1091763615674","47","-9","5"
"72","-13.275811304774","-15.519554961223","1","-15","-13"
"73","1.2873346377282","3.9258039581338","205","1","3"
"74","3.5605193222052","-1.7150396037266","220","3","1"
"75","8.9819874682314","-13.96464775723","224","7","-15"
"76","9.5254632852757","9.7333158235244","171","9","11"
"77","-5.8398598283393","0.36176669558295","100","-7","-1"
"78","-12.421923195169","1.7415610249105","60","-11","1"
"79","-9.3992678260046","-14.224384908435","49","-11","-13"
"80","-2.4815837257611","-4.6814995519426","87","-3","-5"
"81","-5.7821309481273","3.5791889998049","111","-7","5"
"82","3.6110705546051","16.390664319294","216","3","15"
"83","-5.5055427542254","11.529265204122","123","-5","11"
"84","6.9044573192391","-3.9815905800721","231","7","-5"
"85","-14.284243770715","-0.74553284905729","20","-13","-1"
"86","8.3171150729248","-11.19644476724","226","7","-9"
"87","-14.413978011717","12.048608764116","25","-13","13"
"88","12.346118419775","-1.2749349223183","148","13","-1"
"89","13.619989532141","15.780397660927","153","13","13"
"90","-12.669760876492","-7.4383458263119","23","-13","-5"
"91","4.4140925939841","-18.534591829893","240","5","-15"
"92","-12.559857456023","1.2826935402051","20","-13","-1"
"93","-6.908805673722","-1.4618698309967","101","-7","-3"
"94","-5.3507777857998","4.4843153650177","111","-7","5"
"95","-7.4127989818293","-12.116498006476","97","-7","-13"
"96","-10.346458381078","-16.181680122155","48","-11","-15"
"97","10.944202415487","-10.324133120825","162","9","-9"
"98","10.836867867332","12.335487867285","153","13","13"
"99","12.507954504041","13.164128721284","153","13","13"
"100","9.4415087066305","11.058320403928","185","11","13"
"101","-1.254333864379","7.4295701221049","78","-1","7"
"102","0.72853250173897","4.8152997652513","205","1","3"
"103","-3.7393227192236","7.3418927600777","126","-5","7"
"104","-11.953881972715","16.79470619797","8","-15","15"
"105","-7.8307753029952","8.6907991458778","106","-7","9"
"106","4.448896395175","8.7320850496847","250","5","9"
"107","-1.3031619621734","10.353395891205","91","-3","11"
"108","11.393507814607","-0.83782516087865","180","11","-1"
"109","-10.827284775004","-14.377406517736","48","-11","-15"
"110","10.036412706576","7.3170875847231","238","7","7"
"111","-6.0834697564708","3.8749197128533","109","-7","3"
"112","1.2232148012681","-9.4517390065765","210","3","-9"
"113","-0.039528528883857","1.0121004852966","205","1","3"
"114","9.1966721965133","-13.194026934476","161","9","-13"
"115","-8.1078218407637","7.2584241015872","46","-9","7"
"116","-3.6922836306437","2.3392749277503","124","-5","1"
"117","-17.678814945573","-5.9818161707641","7","-15","-5"
"118","-8.8544247977299","5.0599275724892","46","-9","7"
"119","-6.1900827161659","-10.704460927855","97","-7","-13"
"120","-13.521681807375","-9.592416582953","3","-15","-11"
"121","0.57656689637983","2.8921978163327","76","-1","1"
"122","12.837104753173","12.734122561967","152","13","15"
"123","2.793718798946","-7.7579821518605","210","3","-9"
"124","-4.0210294808189","13.751521909609","89","-3","13"
"125","15.102958318312","13.431743579292","136","15","15"
"126","12.069015903785","11.586642870216","153","13","13"
"127","-1.2108524454089","5.6917464994185","95","-3","5"
"128","6.8977535764894","7.5736583849919","238","7","7"
"129","-10.642409580799","4.8033444815367","63","-11","5"
"130","9.6121565027795","-10.101286092891","179","11","-11"
"131","0.90782188776754","15.249989813235","200","1","15"
"132","-14.059604345844","9.8640102688863","26","-13","9"
"133","-0.43838929068566","-15.594471139105","64","-1","-15"
"134","-1.9641680207996","12.610793506778","89","-3","13"
"135","9.6369609505011","3.7232785027285","236","7","1"
"136","-6.2935903707635","-11.960343409015","35","-9","-11"
"137","-7.9067290817216","11.783726314534","105","-7","13"
"138","3.0245188757978","-0.012174742665025","252","5","1"
"139","7.3470814321919","2.0793115747684","173","9","3"
"140","-5.6392667367121","10.090609292777","106","-7","9"
"141","-5.4765077539796","4.3625820519468","111","-7","5"
"142","9.4059914727079","10.711248480314","171","9","11"
"143","-13.113031956427","1.4704400607318","29","-13","3"
"144","-2.0350167343859","13.935526355802","72","-1","15"
"145","-11.162281232916","8.7823680538909","46","-9","7"
"146","16.028067498252","-9.3265318457132","131","15","-11"
"147","-0.75658035716665","1.7362001007191","207","1","5"
"148","-16.282238787942","-14.339198775509","17","-13","-13"
"149","5.4350649063169","8.231397727495","234","7","9"
"150","7.8775758284034","5.051735678704","255","5","5"
"151","3.9352459676789","-11.473099170594","210","3","-9"
"152","4.3614892475269","9.3779681397659","202","1","9"
"153","-13.064237789684","-15.824965075354","16","-13","-15"
"154","-5.8065725827914","-12.16311445198","113","-5","-13"
